"Localidades";"Períodos";"População de 0 a 3 Anos";"Cód. IBGE"
"Campo Grande";"2013";"4795";
"Campo Grande";"2014";"4858";
"Campo Grande";"2015";"4919";
"Campo Grande";"2016";"4799";
"Campo Grande";"2017";"4681";
"Campo Limpo";"2006";"13652";
"Campo Limpo";"2007";"13350";
"Campo Limpo";"2008";"13044";
"Campo Limpo";"2009";"12742";
"Campo Limpo";"2010";"12450";
"Campo Limpo";"2011";"12707";
"Campo Limpo";"2012";"12957";
"Campo Limpo";"2013";"13202";
"Campo Limpo";"2014";"13443";
"Campo Limpo";"2015";"13682";
"Campo Limpo";"2016";"13452";
"Campo Limpo";"2017";"13223";
"Cangaiba";"2006";"7773";
"Cangaiba";"2007";"7493";
"Cangaiba";"2008";"7224";
"Cangaiba";"2009";"6959";
"Cangaiba";"2010";"6714";
"Cangaiba";"2011";"7010";
"Cangaiba";"2012";"7314";
"Cangaiba";"2013";"7623";
"Cangaiba";"2014";"7931";
"Cangaiba";"2015";"8252";
"Cangaiba";"2016";"8032";
"Cangaiba";"2017";"7807";
"Capão Redondo";"2006";"17395";
"Capão Redondo";"2007";"17007";
"Capão Redondo";"2008";"16620";
"Capão Redondo";"2009";"16237";
"Capão Redondo";"2010";"15861";
"Capão Redondo";"2011";"16465";
"Capão Redondo";"2012";"17067";
"Capão Redondo";"2013";"17681";
"Capão Redondo";"2014";"18296";
"Capão Redondo";"2015";"18910";
"Capão Redondo";"2016";"18598";
"Capão Redondo";"2017";"18271";
"Carrão";"2006";"3487";
"Carrão";"2007";"3414";
"Carrão";"2008";"3338";
"Carrão";"2009";"3266";
"Carrão";"2010";"3191";
"Carrão";"2011";"3291";
"Carrão";"2012";"3391";
"Carrão";"2013";"3493";
"Carrão";"2014";"3598";
"Carrão";"2015";"3701";
"Carrão";"2016";"3614";
"Carrão";"2017";"3525";
"Casa Verde";"2006";"4101";
"Casa Verde";"2007";"4028";
"Casa Verde";"2008";"3955";
"Casa Verde";"2009";"3880";
"Casa Verde";"2010";"3803";
"Casa Verde";"2011";"3999";
"Casa Verde";"2012";"4203";
"Casa Verde";"2013";"4410";
"Casa Verde";"2014";"4628";
"Casa Verde";"2015";"4849";
"Casa Verde";"2016";"4700";
"Casa Verde";"2017";"4551";
"Cidade Ademar";"2006";"16368";
"Cidade Ademar";"2007";"15999";
"Cidade Ademar";"2008";"15620";
"Cidade Ademar";"2009";"15261";
"Cidade Ademar";"2010";"14905";
"Cidade Ademar";"2011";"15530";
"Cidade Ademar";"2012";"16166";
"Cidade Ademar";"2013";"16818";
"Cidade Ademar";"2014";"17481";
"Cidade Ademar";"2015";"18152";
"Cidade Ademar";"2016";"17760";
"Cidade Ademar";"2017";"17354";
"Cidade Dutra";"2006";"11789";
"Cidade Dutra";"2007";"11392";
"Cidade Dutra";"2008";"11004";
"Cidade Dutra";"2009";"10627";
"Cidade Dutra";"2010";"10269";
"Cidade Dutra";"2011";"10618";
"Cidade Dutra";"2012";"10965";
"Cidade Dutra";"2013";"11316";
"Cidade Dutra";"2014";"11665";
"Cidade Dutra";"2015";"12011";
"Cidade Dutra";"2016";"11736";
"Cidade Dutra";"2017";"11462";
"Cidade Lider";"2006";"7379";
"Cidade Lider";"2007";"7199";
"Cidade Lider";"2008";"7022";
"Cidade Lider";"2009";"6844";
"Cidade Lider";"2010";"6672";
"Cidade Lider";"2011";"6873";
"Cidade Lider";"2012";"7078";
"Cidade Lider";"2013";"7279";
"Cidade Lider";"2014";"7480";
"Cidade Lider";"2015";"7680";
"Cidade Lider";"2016";"7546";
"Cidade Lider";"2017";"7408";
"Cidade Tiradentes";"2006";"15277";
"Cidade Tiradentes";"2007";"14834";
"Cidade Tiradentes";"2008";"14395";
"Cidade Tiradentes";"2009";"13962";
"Cidade Tiradentes";"2010";"13541";
"Cidade Tiradentes";"2011";"13777";
"Cidade Tiradentes";"2012";"14005";
"Cidade Tiradentes";"2013";"14219";
"Cidade Tiradentes";"2014";"14420";
"Cidade Tiradentes";"2015";"14610";
"Cidade Tiradentes";"2016";"14572";
"Cidade Tiradentes";"2017";"14531";
"Consolação";"2006";"1422";
"Consolação";"2007";"1388";
"Consolação";"2008";"1359";
"Consolação";"2009";"1327";
"Consolação";"2010";"1295";
"Consolação";"2011";"1404";
"Consolação";"2012";"1514";
"Consolação";"2013";"1629";
