DISTRITO;MAT_CRECHE;MAT_PRE_ESCOLA;MAT_FUND_I;MAT_FUND_II;MAT_EJA_I;MAT_EJA_II;MAT_ENS_MED;MAT_ED_PROF;MAT_PROC_CRECHE;MAT_PROC_PRE_ESC;DEM_CRECHE;DEM_PRE;DEM_FUND_I;DEM_FUND_II;DEM_EJA_I;DEM_EJA_II;DEM_PREF_CRECHE;DEM_PREF_PRE;MES_ANO_REF
PARQUE DO CARMO;590;2.131;734;839;107;176;0;0;;;526;310;0;0;0;0;;;jun-06
PEDREIRA;493;3.722;5.544;4.712;662;1.779;0;0;;;1.184;1.087;0;0;0;0;;;jun-06
PENHA;447;1.926;0;0;0;0;0;0;;;623;201;0;0;0;0;;;jun-06
PERDIZES;286;933;342;297;70;148;0;0;;;200;42;0;0;0;0;;;jun-06
PERUS;484;3.501;4.611;4.113;272;1.372;0;0;;;911;869;0;0;0;0;;;jun-06
PINHEIROS;251;759;351;368;135;189;0;0;;;230;26;0;0;0;0;;;jun-06
PIRITUBA;932;5.030;3.952;3.953;500;1.394;305;0;;;955;913;0;0;0;0;;;jun-06
PONTE RASA;461;2.691;3.155;3.233;45;1.048;0;0;;;605;229;0;0;0;0;;;jun-06
RAPOSO TAVARES;927;4.470;4.731;3.710;521;1.254;0;0;;;1.089;133;0;0;0;0;;;jun-06
REPUBLICA;135;1.036;0;0;0;0;0;0;;;301;55;0;0;0;0;;;jun-06
RIO PEQUENO;1.226;4.117;4.360;3.256;398;916;0;0;;;1.140;254;0;0;0;0;;;jun-06
SACOMA;1.380;7.145;5.821;5.104;820;2.428;0;0;;;2.203;411;0;0;0;0;;;jun-06
SANTA CECILIA;357;1.081;0;0;0;0;0;0;;;571;202;0;0;0;0;;;jun-06
SANTANA;310;2.051;1.711;1.908;24;491;1.191;675;;;425;95;0;0;0;0;;;jun-06
SANTO AMARO;136;627;1.119;1.741;20;856;106;0;;;352;114;0;0;0;0;;;jun-06
SAO DOMINGOS;479;2.300;3.382;3.024;291;781;0;0;;;471;275;0;0;0;0;;;jun-06
SAO LUCAS;366;3.262;3.934;3.912;261;1.060;0;0;;;438;351;0;0;0;0;;;jun-06
SAO MATEUS;989;6.133;4.004;3.598;576;1.937;0;0;;;1.562;355;0;0;0;0;;;jun-06
SAO MIGUEL;621;3.259;4.815;4.439;174;1.497;195;0;;;560;241;0;0;0;0;;;jun-06
SAO RAFAEL;1.414;7.795;5.350;3.913;528;1.848;0;0;;;2.420;828;0;0;0;0;;;jun-06
SAPOPEMBA;2.133;11.371;11.638;10.796;1.324;3.881;459;0;;;2.781;852;0;0;0;0;;;jun-06
SAUDE;189;669;265;345;0;205;0;0;;;238;59;0;0;0;0;;;jun-06
SE;49;19;593;443;131;306;0;0;;;141;66;0;0;0;0;;;jun-06
SOCORRO;327;1.613;1.669;1.640;201;552;0;0;;;160;122;0;0;0;0;;;jun-06
TATUAPE;73;1.926;1.271;1.334;111;492;0;0;;;162;51;0;0;0;0;;;jun-06
TREMEMBE;616;5.255;4.305;4.029;557;1.418;0;0;;;1.175;692;0;0;0;0;;;jun-06
TUCURUVI;291;1.217;1.512;1.449;151;864;0;0;;;212;102;0;0;0;0;;;jun-06
VILA ANDRADE;119;328;2.144;991;462;434;0;0;;;348;294;0;0;0;0;;;jun-06
VILA CURUCA;1.136;6.797;7.024;6.885;295;2.076;0;0;;;1.134;714;0;0;0;0;;;jun-06
VILA FORMOSA;258;2.008;491;538;0;209;0;0;;;305;142;0;0;0;0;;;jun-06
VILA GUILHERME;176;1.670;1.350;1.116;107;323;0;0;;;177;44;0;0;0;0;;;jun-06
VILA JACUI;1.109;6.270;4.927;4.806;305;1.942;0;0;;;585;379;0;0;0;0;;;jun-06
VILA LEOPOLDINA;214;959;850;796;73;161;0;0;;;145;27;0;0;0;0;;;jun-06
VILA MARIA;881;4.980;3.866;2.987;321;592;0;0;;;959;144;0;0;0;0;;;jun-06
VILA MARIANA;259;1.740;240;295;43;270;0;0;;;335;101;0;0;0;0;;;jun-06
VILA MATILDE;277;1.600;2.865;2.894;131;306;0;0;;;404;59;0;0;0;0;;;jun-06
VILA MEDEIROS;727;3.792;3.534;3.057;754;1.427;0;0;;;802;195;0;0;0;0;;;jun-06
VILA PRUDENTE;774;2.513;1.475;1.341;195;597;0;0;;;686;205;0;0;0;0;;;jun-06
VILA SONIA;546;2.463;2.417;2.119;252;776;0;0;;;706;479;0;0;0;0;;;jun-06
AGUA RASA;626;1.971;1.373;1.360;107;174;0;0;;;583;160;0;0;0;0;;;set-06
ALTO DE PINHEIROS;244;196;0;0;0;0;0;0;;;105;2;0;0;0;0;;;set-06
ANHANGUERA;235;1.990;2.966;2.656;157;836;0;0;;;259;359;0;0;0;0;;;set-06
ARICANDUVA;433;1.696;2.393;2.292;163;781;0;0;;;559;152;0;0;0;0;;;set-06
ARTUR ALVIM;915;4.576;3.200;2.737;143;626;0;0;;;893;164;0;0;0;0;;;set-06
BARRA FUNDA;239;340;0;0;0;0;0;0;;;258;32;0;0;0;0;;;set-06
BELA VISTA;551;1.107;526;511;0;441;0;0;;;818;157;0;0;0;0;;;set-06
BELEM;205;1.614;464;0;0;0;0;0;;;415;154;0;0;0;0;;;set-06
BOM RETIRO;452;1.620;0;0;0;0;0;0;;;753;530;0;0;0;0;;;set-06
BRAS;311;771;0;0;0;0;0;0;;;486;187;0;0;0;0;;;set-06
BRASILANDIA;2.351;9.087;9.812;7.378;1.064;3.388;0;0;;;3.607;1.659;0;0;0;0;;;set-06
BUTANTA;233;1.635;1.624;1.515;632;1.529;0;0;;;560;113;0;0;0;0;;;set-06
CACHOEIRINHA;814;4.554;3.442;2.985;368;1.019;0;0;;;1.310;348;0;0;0;0;;;set-06
CAMBUCI;134;809;0;0;235;320;0;0;;;268;263;0;0;0;0;;;set-06
CAMPO BELO;399;833;1.490;1.352;201;736;0;0;;;677;71;0;0;0;0;;;set-06
CAMPO GRANDE;242;2.317;3.469;3.274;498;1.263;0;0;;;512;431;0;0;0;0;;;set-06
CAMPO LIMPO;1.263;9.518;8.906;8.357;1.023;3.427;0;0;;;4.294;2.938;0;0;0;0;;;set-06
CANGAIBA;779;4.659;2.812;2.402;207;814;0;0;;;1.503;570;0;0;0;0;;;set-06
CAPAO REDONDO;966;7.415;10.989;8.587;2.011;5.444;0;0;;;3.324;2.842;0;0;0;0;;;set-06
CARRAO;548;1.833;1.075;1.017;0;117;0;0;;;540;87;0;0;0;0;;;set-06
CASA VERDE;389;2.436;1.138;1.150;110;611;0;0;;;827;261;0;0;0;0;;;set-06
CIDADE ADEMAR;1.054;6.104;4.903;4.031;700;1.849;0;0;;;3.930;2.428;0;0;0;0;;;set-06
CIDADE DUTRA;2.820;6.594;7.324;7.023;384;2.629;0;0;;;2.755;1.344;0;0;0;0;;;set-06
CIDADE LIDER;840;5.191;3.263;3.062;477;1.898;0;0;;;1.637;596;0;0;0;0;;;set-06
CIDADE TIRADENTES;1.708;11.730;13.135;12.523;578;3.034;444;0;;;2.124;1.354;0;0;0;0;;;set-06
CONSOLACAO;268;1.047;0;0;0;0;0;0;;;513;61;0;0;0;0;;;set-06
CURSINO;252;2.004;987;972;0;168;0;0;;;772;292;0;0;0;0;;;set-06
ERMELINO MATARAZZO;479;3.703;1.860;1.915;277;1.395;0;0;;;1.157;837;0;0;0;0;;;set-06
FREGUESIA DO O;697;5.033;3.727;2.868;297;1.316;0;0;;;958;1.095;0;0;0;0;;;set-06
GRAJAU;2.555;10.540;8.496;7.318;986;3.377;0;0;;;4.871;3.960;0;0;0;0;;;set-06
GUAIANASES;865;4.790;2.056;2.526;524;1.591;0;0;;;653;554;0;0;0;0;;;set-06
IGUATEMI;783;5.879;7.037;6.015;579;1.738;0;0;;;2.155;1.435;0;0;0;0;;;set-06
IPIRANGA;765;3.133;1.002;854;207;415;0;0;;;1.156;213;0;0;0;0;;;set-06
ITAIM BIBI;135;857;831;735;0;359;0;0;;;165;82;0;0;0;0;;;set-06
ITAIM PAULISTA;1.303;7.716;6.023;6.614;467;2.585;0;0;;;2.396;2.118;0;0;0;0;;;set-06
ITAQUERA;874;6.182;3.567;3.951;349;1.565;0;0;;;1.454;588;0;0;0;0;;;set-06
JABAQUARA;1.051;5.939;3.460;2.961;349;1.329;0;0;;;2.784;1.324;0;0;0;0;;;set-06
JACANA;608;3.374;2.528;2.163;122;645;0;0;;;1.055;675;0;0;0;0;;;set-06
JAGUARA;331;1.261;868;874;178;375;0;0;;;430;74;0;0;0;0;;;set-06
JAGUARE;239;666;412;403;184;218;0;0;;;522;162;0;0;0;0;;;set-06
JARAGUA;2.094;7.583;10.386;8.807;733;2.820;430;0;;;2.478;1.509;0;0;0;0;;;set-06
JARDIM ANGELA;1.652;9.191;8.205;6.464;657;2.400;0;0;;;4.249;4.726;0;0;0;0;;;set-06
JARDIM HELENA;871;4.739;5.839;6.192;348;1.724;0;0;;;1.216;452;0;0;0;0;;;set-06
JARDIM PAULISTA;17;692;0;0;0;0;0;0;;;11;2;0;0;0;0;;;set-06
JARDIM SAO LUIS;1.983;9.821;8.385;6.812;733;2.592;0;0;;;4.671;1.864;0;0;0;0;;;set-06
JOSE BONIFACIO;545;4.865;2.911;2.676;46;828;0;0;;;934;239;0;0;0;0;;;set-06
LAJEADO;1.030;5.826;3.823;4.480;451;1.811;0;0;;;2.055;1.955;0;0;0;0;;;set-06
LAPA;185;2.573;0;0;0;0;0;0;;;249;99;0;0;0;0;;;set-06
LIBERDADE;411;490;349;301;61;116;0;0;;;450;62;0;0;0;0;;;set-06
LIMAO;342;1.425;788;766;27;409;0;0;;;462;137;0;0;0;0;;;set-06
MANDAQUI;482;3.362;2.719;2.362;213;439;0;0;;;1.035;199;0;0;0;0;;;set-06
MARSILAC;71;57;0;0;0;0;0;0;;;0;0;0;0;0;0;;;set-06
MOEMA;149;1.316;390;212;28;54;0;0;;;177;79;0;0;0;0;;;set-06
MOOCA;396;1.502;335;291;35;161;0;0;;;318;65;0;0;0;0;;;set-06
MORUMBI;208;887;899;546;51;100;0;0;;;489;104;0;0;0;0;;;set-06
PARELHEIROS;1.031;4.471;3.551;1.606;168;977;0;0;;;1.227;1.030;0;0;0;0;;;set-06
PARI;64;582;401;359;0;0;0;0;;;198;40;0;0;0;0;;;set-06
PARQUE DO CARMO;591;2.504;1.193;1.273;52;589;0;0;;;842;275;0;0;0;0;;;set-06
PEDREIRA;492;3.767;5.562;4.639;571;1.935;0;0;;;1.421;1.245;0;0;0;0;;;set-06
PENHA;464;1.938;0;0;0;0;0;0;;;769;239;0;0;0;0;;;set-06
PERDIZES;293;927;341;292;60;137;0;0;;;303;52;0;0;0;0;;;set-06
PERUS;490;3.619;4.577;4.063;273;1.310;0;0;;;1.214;1.034;0;0;0;0;;;set-06
PINHEIROS;274;769;346;361;123;144;0;0;;;314;14;0;0;0;0;;;set-06
PIRITUBA;893;4.516;4.626;4.586;543;1.485;328;0;;;1.410;1.190;0;0;0;0;;;set-06
PONTE RASA;470;2.666;3.138;3.165;25;981;0;0;;;698;246;0;0;0;0;;;set-06
RAPOSO TAVARES;934;4.526;4.683;3.623;403;1.133;0;0;;;1.401;124;0;0;0;0;;;set-06
REPUBLICA;9;974;0;0;0;0;0;0;;;0;40;0;0;0;0;;;set-06
RIO PEQUENO;1.250;4.118;4.325;3.221;370;966;0;0;;;1.497;279;0;0;0;0;;;set-06
SACOMA;1.369;7.266;5.784;5.024;954;2.542;0;0;;;2.587;524;0;0;0;0;;;set-06
SANTA CECILIA;366;1.109;0;0;0;0;0;0;;;782;221;0;0;0;0;;;set-06
SANTANA;312;2.053;1.690;1.856;0;400;1.102;699;;;539;89;0;0;0;0;;;set-06
SANTO AMARO;141;611;1.020;1.557;0;992;107;0;;;429;124;0;0;0;0;;;set-06
SAO DOMINGOS;477;2.278;3.363;2.972;245;681;0;0;;;684;339;0;0;0;0;;;set-06
SAO LUCAS;371;3.250;3.880;3.851;193;1.010;0;0;;;563;369;0;0;0;0;;;set-06
SAO MATEUS;978;6.063;4.532;4.053;585;1.856;0;0;;;2.008;501;0;0;0;0;;;set-06
SAO MIGUEL;659;3.405;4.756;4.337;135;1.368;200;0;;;816;495;0;0;0;0;;;set-06
SAO RAFAEL;1.339;7.590;5.392;3.925;452;1.813;0;0;;;2.900;1.015;0;0;0;0;;;set-06
SAPOPEMBA;2.153;11.289;11.118;10.061;1.202;3.909;441;0;;;3.760;1.058;0;0;0;0;;;set-06
SAUDE;189;1.060;263;336;0;271;0;0;;;362;59;0;0;0;0;;;set-06
SE;55;125;597;445;127;298;0;0;;;166;33;0;0;0;0;;;set-06
SOCORRO;345;1.589;1.635;1.621;155;504;0;0;;;291;137;0;0;0;0;;;set-06
TATUAPE;72;1.891;1.282;1.332;89;415;0;0;;;209;73;0;0;0;0;;;set-06
TREMEMBE;620;5.238;4.273;3.986;364;1.173;0;0;;;1.467;1.059;0;0;0;0;;;set-06
TUCURUVI;299;1.218;1.539;1.460;125;650;0;0;;;319;115;0;0;0;0;;;set-06
VILA ANDRADE;163;383;2.891;1.322;472;502;0;0;;;841;415;0;0;0;0;;;set-06
VILA CURUCA;1.090;6.830;7.050;6.859;213;1.762;0;0;;;1.465;1.035;0;0;0;0;;;set-06
VILA FORMOSA;253;1.984;495;521;0;203;0;0;;;519;133;0;0;0;0;;;set-06
VILA GUILHERME;226;1.698;1.336;1.094;87;292;0;0;;;250;53;0;0;0;0;;;set-06
VILA JACUI;1.055;6.077;4.903;4.756;335;1.736;0;0;;;1.099;688;0;0;0;0;;;set-06
VILA LEOPOLDINA;218;956;836;767;59;150;0;0;;;189;19;0;0;0;0;;;set-06
VILA MARIA;928;4.982;3.950;2.984;212;828;0;0;;;1.248;166;0;0;0;0;;;set-06
VILA MARIANA;287;1.430;250;281;21;218;0;0;;;434;74;0;0;0;0;;;set-06
VILA MATILDE;294;1.590;2.838;2.855;104;502;0;0;;;506;69;0;0;0;0;;;set-06
VILA MEDEIROS;746;3.757;2.630;2.255;476;1.370;0;0;;;1.066;261;0;0;0;0;;;set-06
VILA PRUDENTE;841;2.509;1.433;1.309;214;487;0;0;;;861;224;0;0;0;0;;;set-06
VILA SONIA;535;2.612;2.413;2.092;220;740;0;0;;;1.088;506;0;0;0;0;;;set-06
AGUA RASA;634;1.950;1.323;1.354;100;101;0;0;;;683;199;0;0;0;0;;;dez-06
ALTO DE PINHEIROS;248;198;0;0;0;0;0;0;;;170;3;0;0;0;0;;;dez-06
ANHANGUERA;247;1.974;2.944;2.549;113;671;0;0;;;424;318;0;0;0;0;;;dez-06
ARICANDUVA;460;1.716;2.354;2.082;157;683;0;0;;;717;278;0;0;0;0;;;dez-06
ARTUR ALVIM;854;4.405;3.162;2.684;125;511;0;0;;;1.368;329;0;0;0;0;;;dez-06
BARRA FUNDA;259;347;0;0;0;0;0;0;;;266;50;0;0;0;0;;;dez-06
BELA VISTA;605;1.226;526;497;0;430;0;0;;;808;22;0;0;0;0;;;dez-06
BELEM;201;1.540;397;0;0;0;0;0;;;532;227;0;0;0;0;;;dez-06
BOM RETIRO;472;1.602;0;0;0;0;0;0;;;711;497;0;0;0;0;;;dez-06
BRAS;307;690;0;0;0;0;0;0;;;617;264;0;0;0;0;;;dez-06
BRASILANDIA;1.777;8.647;9.635;7.156;950;3.102;0;0;;;3.361;1.311;0;0;0;0;;;dez-06
BUTANTA;241;1.617;1.595;1.485;575;1.454;0;0;;;660;203;0;0;0;0;;;dez-06
CACHOEIRINHA;738;4.343;3.396;2.921;328;972;0;0;;;1.228;258;0;0;0;0;;;dez-06
CAMBUCI;132;809;0;0;166;256;0;0;;;287;158;0;0;0;0;;;dez-06
CAMPO BELO;416;847;1.395;1.286;203;697;0;0;;;630;86;0;0;0;0;;;dez-06
CAMPO GRANDE;296;2.408;3.398;3.223;438;1.162;0;0;;;543;597;0;0;0;0;;;dez-06
CAMPO LIMPO;1.258;9.458;8.768;8.098;969;3.141;0;0;;;5.254;3.893;0;0;0;0;;;dez-06
CANGAIBA;768;4.648;2.711;2.324;143;622;0;0;;;2.103;1.075;0;0;0;0;;;dez-06
CAPAO REDONDO;963;7.309;10.692;8.380;1.820;4.704;0;0;;;4.117;3.684;0;0;0;0;;;dez-06
CARRAO;542;1.852;1.065;995;0;69;0;0;;;817;134;0;0;0;0;;;dez-06
CASA VERDE;395;2.401;1.113;1.132;86;519;0;0;;;736;174;0;0;0;0;;;dez-06
CIDADE ADEMAR;1.093;6.281;4.751;3.904;642;1.764;0;0;;;4.183;3.097;0;0;0;0;;;dez-06
CIDADE DUTRA;2.971;6.659;7.201;6.807;326;2.233;0;0;;;2.045;476;0;0;0;0;;;dez-06
CIDADE LIDER;911;5.065;3.188;2.994;391;1.414;0;0;;;1.821;644;0;0;0;0;;;dez-06
CIDADE TIRADENTES;1.839;11.669;12.914;12.183;516;2.759;403;0;;;3.309;1.701;0;0;0;0;;;dez-06
CONSOLACAO;272;1.036;0;0;0;0;0;0;;;382;27;0;0;0;0;;;dez-06
CURSINO;255;1.981;973;968;0;140;0;0;;;700;200;0;0;0;0;;;dez-06
ERMELINO MATARAZZO;481;3.626;1.837;1.891;268;1.295;0;0;;;1.578;1.149;0;0;0;0;;;dez-06
FREGUESIA DO O;728;5.096;3.581;2.700;243;1.163;0;0;;;843;463;0;0;0;0;;;dez-06
GRAJAU;2.512;10.443;8.149;7.125;949;3.112;0;0;;;4.385;1.353;0;0;0;0;;;dez-06
GUAIANASES;968;4.904;2.039;2.467;445;1.389;0;0;;;1.365;937;0;0;0;0;;;dez-06
IGUATEMI;815;5.939;6.921;5.926;531;1.664;0;0;;;2.274;768;0;0;0;0;;;dez-06
IPIRANGA;771;3.054;911;801;133;314;0;0;;;1.025;112;0;0;0;0;;;dez-06
ITAIM BIBI;149;834;800;722;0;351;0;0;;;234;92;0;0;0;0;;;dez-06
ITAIM PAULISTA;1.338;7.613;5.945;6.401;363;2.168;0;0;;;3.374;3.487;0;0;0;0;;;dez-06
ITAQUERA;855;6.106;3.283;3.670;274;1.370;0;0;;;2.069;970;0;0;0;0;;;dez-06
JABAQUARA;1.040;5.911;3.392;2.822;333;1.062;0;0;;;2.961;1.723;0;0;0;0;;;dez-06
JACANA;599;3.345;2.453;2.076;29;561;0;0;;;1.416;789;0;0;0;0;;;dez-06
JAGUARA;325;1.254;858;858;142;369;0;0;;;563;151;0;0;0;0;;;dez-06
JAGUARE;236;659;407;393;184;218;0;0;;;548;171;0;0;0;0;;;dez-06
JARAGUA;2.077;7.512;10.269;8.655;738;2.784;429;0;;;3.062;1.660;0;0;0;0;;;dez-06
JARDIM ANGELA;1.595;9.206;8.064;6.397;555;2.289;0;0;;;5.404;5.549;0;0;0;0;;;dez-06
JARDIM HELENA;949;4.605;5.729;6.061;357;1.576;0;0;;;2.159;825;0;0;0;0;;;dez-06
JARDIM PAULISTA;24;693;0;0;0;0;0;0;;;42;24;0;0;0;0;;;dez-06
JARDIM SAO LUIS;1.972;9.694;8.043;6.546;640;2.347;0;0;;;5.671;2.503;0;0;0;0;;;dez-06
JOSE BONIFACIO;530;4.628;2.860;2.642;46;797;0;0;;;1.103;350;0;0;0;0;;;dez-06
LAJEADO;1.108;5.840;3.787;4.337;410;1.476;0;0;;;2.479;2.672;0;0;0;0;;;dez-06
LAPA;189;2.525;0;0;0;0;0;0;;;386;180;0;0;0;0;;;dez-06
LIBERDADE;433;569;333;279;49;92;0;0;;;507;39;0;0;0;0;;;dez-06
LIMAO;319;1.419;771;739;12;312;0;0;;;353;13;0;0;0;0;;;dez-06
MANDAQUI;490;3.303;2.779;2.311;217;440;0;0;;;991;260;0;0;0;0;;;dez-06
MARSILAC;67;54;0;0;0;0;0;0;;;1;4;0;0;0;0;;;dez-06
MOEMA;150;1.265;389;212;28;55;0;0;;;178;71;0;0;0;0;;;dez-06
MOOCA;404;1.462;324;288;35;161;0;0;;;358;217;0;0;0;0;;;dez-06
MORUMBI;208;885;866;543;18;98;0;0;;;528;117;0;0;0;0;;;dez-06
PARELHEIROS;1.062;4.480;3.489;1.566;163;901;0;0;;;1.320;766;0;0;0;0;;;dez-06
PARI;84;572;393;354;0;0;0;0;;;271;71;0;0;0;0;;;dez-06
PARQUE DO CARMO;594;2.523;1.183;1.254;48;426;0;0;;;1.215;370;0;0;0;0;;;dez-06
PEDREIRA;550;3.905;5.496;4.553;510;1.744;0;0;;;1.738;1.687;0;0;0;0;;;dez-06
PENHA;468;1.938;0;0;0;0;0;0;;;995;364;0;0;0;0;;;dez-06
PERDIZES;303;915;337;288;60;135;0;0;;;349;124;0;0;0;0;;;dez-06
PERUS;487;3.604;4.476;3.994;262;1.188;0;0;;;1.448;687;0;0;0;0;;;dez-06
PINHEIROS;262;769;332;345;0;47;0;0;;;390;15;0;0;0;0;;;dez-06
PIRITUBA;884;4.442;4.585;4.504;538;1.429;300;0;;;1.669;1.451;0;0;0;0;;;dez-06
PONTE RASA;454;2.628;3.107;3.106;26;763;0;0;;;869;425;0;0;0;0;;;dez-06
