"Localidades";"Períodos";"População de 0 a 3 Anos";"Cód. IBGE"
"Belém";"2010";"2077";
"Belém";"2011";"2332";
"Belém";"2012";"2615";
"Belém";"2013";"2920";
"Belém";"2014";"3255";
"Belém";"2015";"3619";
"Belém";"2016";"3472";
"Belém";"2017";"3318";
"Belém";"2018";"3152";
"Bom Retiro";"1995";"1789";
"Bom Retiro";"1996";"1739";
"Bom Retiro";"1997";"1692";
"Bom Retiro";"1998";"1638";
"Bom Retiro";"1999";"1593";
"Bom Retiro";"2000";"1539";
"Bom Retiro";"2001";"1560";
"Bom Retiro";"2002";"1577";
"Bom Retiro";"2003";"1595";
"Bom Retiro";"2004";"1618";
"Bom Retiro";"2005";"1636";
"Bom Retiro";"2006";"1651";
"Bom Retiro";"2007";"1677";
"Bom Retiro";"2008";"1693";
"Bom Retiro";"2009";"1712";
"Bom Retiro";"2010";"1729";
"Bom Retiro";"2011";"1874";
"Bom Retiro";"2012";"2030";
"Bom Retiro";"2013";"2195";
"Bom Retiro";"2014";"2367";
"Bom Retiro";"2015";"2552";
"Bom Retiro";"2016";"2475";
"Bom Retiro";"2017";"2392";
"Bom Retiro";"2018";"2308";
"Brás";"1995";"1970";
"Brás";"1996";"1905";
"Brás";"1997";"1843";
"Brás";"1998";"1782";
"Brás";"1999";"1719";
"Brás";"2000";"1656";
"Brás";"2001";"1628";
"Brás";"2002";"1594";
"Brás";"2003";"1566";
"Brás";"2004";"1532";
"Brás";"2005";"1505";
"Brás";"2006";"1473";
"Brás";"2007";"1450";
"Brás";"2008";"1424";
"Brás";"2009";"1392";
"Brás";"2010";"1363";
"Brás";"2011";"1555";
"Brás";"2012";"1769";
"Brás";"2013";"2004";
"Brás";"2014";"2260";
"Brás";"2015";"2544";
"Brás";"2016";"2429";
"Brás";"2017";"2304";
"Brás";"2018";"2177";
"Brasilândia";"1995";"19779";
"Brasilândia";"1996";"20265";
"Brasilândia";"1997";"20754";
"Brasilândia";"1998";"21239";
"Brasilândia";"1999";"21712";
"Brasilândia";"2000";"22157";
"Brasilândia";"2001";"21537";
"Brasilândia";"2002";"20881";
"Brasilândia";"2003";"20223";
"Brasilândia";"2004";"19570";
"Brasilândia";"2005";"18919";
"Brasilândia";"2006";"18269";
"Brasilândia";"2007";"17617";
"Brasilândia";"2008";"16987";
"Brasilândia";"2009";"16363";
"Brasilândia";"2010";"15777";
"Brasilândia";"2011";"16611";
"Brasilândia";"2012";"17459";
"Brasilândia";"2013";"18326";
"Brasilândia";"2014";"19213";
"Brasilândia";"2015";"20117";
"Brasilândia";"2016";"19686";
"Brasilândia";"2017";"19242";
"Brasilândia";"2018";"18790";
"Butantã";"1995";"2604";
"Butantã";"1996";"2522";
"Butantã";"1997";"2440";
"Butantã";"1998";"2355";
"Butantã";"1999";"2272";
"Butantã";"2000";"2185";
"Butantã";"2001";"2161";
"Butantã";"2002";"2136";
"Butantã";"2003";"2106";
"Butantã";"2004";"2074";
"Butantã";"2005";"2048";
"Butantã";"2006";"2014";
"Butantã";"2007";"1977";
"Butantã";"2008";"1948";
"Butantã";"2009";"1915";
"Butantã";"2010";"1878";
"Butantã";"2011";"1970";
"Butantã";"2012";"2068";
"Butantã";"2013";"2164";
"Butantã";"2014";"2260";
"Butantã";"2015";"2363";
"Butantã";"2016";"2292";
"Butantã";"2017";"2220";
"Butantã";"2018";"2145";
"Cachoeirinha";"1995";"11718";
"Cachoeirinha";"1996";"11766";
"Cachoeirinha";"1997";"11799";
"Cachoeirinha";"1998";"11831";
"Cachoeirinha";"1999";"11849";
"Cachoeirinha";"2000";"11844";
"Cachoeirinha";"2001";"11457";
"Cachoeirinha";"2002";"11059";
"Cachoeirinha";"2003";"10663";
"Cachoeirinha";"2004";"10278";
"Cachoeirinha";"2005";"9893";
"Cachoeirinha";"2006";"9522";
"Cachoeirinha";"2007";"9157";
"Cachoeirinha";"2008";"8795";
"Cachoeirinha";"2009";"8451";
"Cachoeirinha";"2010";"8138";
"Cachoeirinha";"2011";"8457";
"Cachoeirinha";"2012";"8782";
"Cachoeirinha";"2013";"9108";
"Cachoeirinha";"2014";"9439";
"Cachoeirinha";"2015";"9770";
"Cachoeirinha";"2016";"9498";
"Cachoeirinha";"2017";"9223";
"Cachoeirinha";"2018";"8949";
"Cambuci";"1995";"1761";
"Cambuci";"1996";"1691";
"Cambuci";"1997";"1621";
"Cambuci";"1998";"1552";
"Cambuci";"1999";"1485";
"Cambuci";"2000";"1417";
"Cambuci";"2001";"1450";
"Cambuci";"2002";"1477";
"Cambuci";"2003";"1508";
"Cambuci";"2004";"1539";
"Cambuci";"2005";"1571";
"Cambuci";"2006";"1600";
"Cambuci";"2007";"1629";
"Cambuci";"2008";"1657";
"Cambuci";"2009";"1685";
"Cambuci";"2010";"1703";
"Cambuci";"2011";"1782";
"Cambuci";"2012";"1865";
"Cambuci";"2013";"1950";
"Cambuci";"2014";"2037";
"Cambuci";"2015";"2128";
"Cambuci";"2016";"2075";
"Cambuci";"2017";"2020";
"Cambuci";"2018";"1964";
"Campo Belo";"1995";"3567";
"Campo Belo";"1996";"3431";
"Campo Belo";"1997";"3297";
"Campo Belo";"1998";"3164";
"Campo Belo";"1999";"3030";
"Campo Belo";"2000";"2897";
"Campo Belo";"2001";"2868";
"Campo Belo";"2002";"2843";
"Campo Belo";"2003";"2808";
"Campo Belo";"2004";"2773";
"Campo Belo";"2005";"2738";
"Campo Belo";"2006";"2704";
"Campo Belo";"2007";"2666";
"Campo Belo";"2008";"2623";
"Campo Belo";"2009";"2584";
"Campo Belo";"2010";"2548";
"Campo Belo";"2011";"2625";
"Campo Belo";"2012";"2706";
"Campo Belo";"2013";"2786";
"Campo Belo";"2014";"2862";
"Campo Belo";"2015";"2943";
"Campo Belo";"2016";"2836";
"Campo Belo";"2017";"2732";
"Campo Belo";"2018";"2625";
"Campo Grande";"1995";"5127";
"Campo Grande";"1996";"5093";
"Campo Grande";"1997";"5056";
"Campo Grande";"1998";"5011";
"Campo Grande";"1999";"4965";
"Campo Grande";"2000";"4906";
"Campo Grande";"2001";"4890";
"Campo Grande";"2002";"4870";
"Campo Grande";"2003";"4846";
"Campo Grande";"2004";"4820";
"Campo Grande";"2005";"4789";
"Campo Grande";"2006";"4756";
"Campo Grande";"2007";"4721";
"Campo Grande";"2008";"4682";
"Campo Grande";"2009";"4646";
"Campo Grande";"2010";"4599";
"Campo Grande";"2011";"4667";
"Campo Grande";"2012";"4732";
"Campo Grande";"2013";"4795";
"Campo Grande";"2014";"4858";
"Campo Grande";"2015";"4919";
"Campo Grande";"2016";"4799";
"Campo Grande";"2017";"4681";
"Campo Grande";"2018";"4561";
"Campo Limpo";"1995";"14486";
"Campo Limpo";"1996";"14682";
"Campo Limpo";"1997";"14877";
"Campo Limpo";"1998";"15057";
"Campo Limpo";"1999";"15222";
"Campo Limpo";"2000";"15359";
"Campo Limpo";"2001";"15108";
"Campo Limpo";"2002";"14835";
"Campo Limpo";"2003";"14547";
"Campo Limpo";"2004";"14252";
"Campo Limpo";"2005";"13950";
"Campo Limpo";"2006";"13652";
"Campo Limpo";"2007";"13350";
