"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2017;"00 a 03 anos";3.772
80001;"Água Rasa";2017;"Total da Seleção";3.772
80001;"Água Rasa";2017;"Total Geral da População";83.406
80002;"Alto de Pinheiros";2017;"00 a 03 anos";1.340
80002;"Alto de Pinheiros";2017;"Total da Seleção";1.340
80002;"Alto de Pinheiros";2017;"Total Geral da População";41.651
80003;"Anhanguera";2017;"00 a 03 anos";4.660
80003;"Anhanguera";2017;"Total da Seleção";4.660
80003;"Anhanguera";2017;"Total Geral da População";79.594
80004;"Aricanduva";2017;"00 a 03 anos";4.156
80004;"Aricanduva";2017;"Total da Seleção";4.156
80004;"Aricanduva";2017;"Total Geral da População";86.815
80005;"Artur Alvim";2017;"00 a 03 anos";4.910
80005;"Artur Alvim";2017;"Total da Seleção";4.910
80005;"Artur Alvim";2017;"Total Geral da População";101.732
80006;"Barra Funda";2017;"00 a 03 anos";813
80006;"Barra Funda";2017;"Total da Seleção";813
80006;"Barra Funda";2017;"Total Geral da População";15.562
80007;"Bela Vista";2017;"00 a 03 anos";3.350
80007;"Bela Vista";2017;"Total da Seleção";3.350
80007;"Bela Vista";2017;"Total Geral da População";72.304
80008;"Belém";2017;"00 a 03 anos";3.318
80008;"Belém";2017;"Total da Seleção";3.318
80008;"Belém";2017;"Total Geral da População";48.130
80009;"Bom Retiro";2017;"00 a 03 anos";2.392
80009;"Bom Retiro";2017;"Total da Seleção";2.392
80009;"Bom Retiro";2017;"Total Geral da População";37.602
80010;"Brás";2017;"00 a 03 anos";2.304
80010;"Brás";2017;"Total da Seleção";2.304
80010;"Brás";2017;"Total Geral da População";32.049
80011;"Brasilândia";2017;"00 a 03 anos";19.242
80011;"Brasilândia";2017;"Total da Seleção";19.242
80011;"Brasilândia";2017;"Total Geral da População";276.889
80012;"Butantã";2017;"00 a 03 anos";2.220
80012;"Butantã";2017;"Total da Seleção";2.220
80012;"Butantã";2017;"Total Geral da População";54.035
80013;"Cachoeirinha";2017;"00 a 03 anos";9.223
80013;"Cachoeirinha";2017;"Total da Seleção";9.223
80013;"Cachoeirinha";2017;"Total Geral da População";145.334
80014;"Cambuci";2017;"00 a 03 anos";2.020
80014;"Cambuci";2017;"Total da Seleção";2.020
80014;"Cambuci";2017;"Total Geral da População";39.743
80015;"Campo Belo";2017;"00 a 03 anos";2.732
80015;"Campo Belo";2017;"Total da Seleção";2.732
80015;"Campo Belo";2017;"Total Geral da População";64.397
80016;"Campo Grande";2017;"00 a 03 anos";4.681
80016;"Campo Grande";2017;"Total da Seleção";4.681
80016;"Campo Grande";2017;"Total Geral da População";105.238
80017;"Campo Limpo";2017;"00 a 03 anos";13.223
80017;"Campo Limpo";2017;"Total da Seleção";13.223
80017;"Campo Limpo";2017;"Total Geral da População";223.940
