"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2013;"00 a 03 anos";3.689
80001;"Água Rasa";2013;"Total da Seleção";3.689
80001;"Água Rasa";2013;"Total Geral da População";84.373
80002;"Alto de Pinheiros";2013;"00 a 03 anos";1.422
80002;"Alto de Pinheiros";2013;"Total da Seleção";1.422
80002;"Alto de Pinheiros";2013;"Total Geral da População";42.521
80003;"Anhanguera";2013;"00 a 03 anos";4.371
80003;"Anhanguera";2013;"Total da Seleção";4.371
80003;"Anhanguera";2013;"Total Geral da População";71.839
80004;"Aricanduva";2013;"00 a 03 anos";4.264
80004;"Aricanduva";2013;"Total da Seleção";4.264
80004;"Aricanduva";2013;"Total Geral da População";88.334
80005;"Artur Alvim";2013;"00 a 03 anos";5.103
80005;"Artur Alvim";2013;"Total da Seleção";5.103
80005;"Artur Alvim";2013;"Total Geral da População";103.676
80006;"Barra Funda";2013;"00 a 03 anos";742
80006;"Barra Funda";2013;"Total da Seleção";742
80006;"Barra Funda";2013;"Total Geral da População";14.865
80007;"Bela Vista";2013;"00 a 03 anos";2.945
80007;"Bela Vista";2013;"Total da Seleção";2.945
80007;"Bela Vista";2013;"Total Geral da População";70.770
80008;"Belém";2013;"00 a 03 anos";2.920
80008;"Belém";2013;"Total da Seleção";2.920
80008;"Belém";2013;"Total Geral da População";46.445
80009;"Bom Retiro";2013;"00 a 03 anos";2.195
80009;"Bom Retiro";2013;"Total da Seleção";2.195
80009;"Bom Retiro";2013;"Total Geral da População";35.567
80010;"Brás";2013;"00 a 03 anos";2.004
80010;"Brás";2013;"Total da Seleção";2.004
80010;"Brás";2013;"Total Geral da População";30.516
80011;"Brasilândia";2013;"00 a 03 anos";18.326
80011;"Brasilândia";2013;"Total da Seleção";18.326
80011;"Brasilândia";2013;"Total Geral da População";270.012
80012;"Butantã";2013;"00 a 03 anos";2.164
80012;"Butantã";2013;"Total da Seleção";2.164
80012;"Butantã";2013;"Total Geral da População";54.177
80013;"Cachoeirinha";2013;"00 a 03 anos";9.108
80013;"Cachoeirinha";2013;"Total da Seleção";9.108
80013;"Cachoeirinha";2013;"Total Geral da População";144.211
80014;"Cambuci";2013;"00 a 03 anos";1.950
80014;"Cambuci";2013;"Total da Seleção";1.950
80014;"Cambuci";2013;"Total Geral da População";38.218
80015;"Campo Belo";2013;"00 a 03 anos";2.786
80015;"Campo Belo";2013;"Total da Seleção";2.786
80015;"Campo Belo";2013;"Total Geral da População";65.208
80016;"Campo Grande";2013;"00 a 03 anos";4.795
80016;"Campo Grande";2013;"Total da Seleção";4.795
80016;"Campo Grande";2013;"Total Geral da População";102.797
80017;"Campo Limpo";2013;"00 a 03 anos";13.202
80017;"Campo Limpo";2013;"Total da Seleção";13.202
80017;"Campo Limpo";2013;"Total Geral da População";216.854
80018;"Cangaiba";2013;"00 a 03 anos";7.623
80018;"Cangaiba";2013;"Total da Seleção";7.623
80018;"Cangaiba";2013;"Total Geral da População";136.961
80019;"Capão Redondo";2013;"00 a 03 anos";17.681
80019;"Capão Redondo";2013;"Total da Seleção";17.681
80019;"Capão Redondo";2013;"Total Geral da População";277.091
80020;"Carrão";2013;"00 a 03 anos";3.493
80020;"Carrão";2013;"Total da Seleção";3.493
80020;"Carrão";2013;"Total Geral da População";83.965
80021;"Casa Verde";2013;"00 a 03 anos";4.410
80021;"Casa Verde";2013;"Total da Seleção";4.410
80021;"Casa Verde";2013;"Total Geral da População";85.855
80022;"Cidade Ademar";2013;"00 a 03 anos";16.818
80022;"Cidade Ademar";2013;"Total da Seleção";16.818
80022;"Cidade Ademar";2013;"Total Geral da População";272.818
