"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2014;"00 a 03 anos";3.871
80001;"Água Rasa";2014;"Total da Seleção";3.871
80001;"Água Rasa";2014;"Total Geral da População";84.168
80002;"Alto de Pinheiros";2014;"00 a 03 anos";1.420
80002;"Alto de Pinheiros";2014;"Total da Seleção";1.420
80002;"Alto de Pinheiros";2014;"Total Geral da População";42.318
80003;"Anhanguera";2014;"00 a 03 anos";4.468
80003;"Anhanguera";2014;"Total da Seleção";4.468
80003;"Anhanguera";2014;"Total Geral da População";74.057
80004;"Aricanduva";2014;"00 a 03 anos";4.330
80004;"Aricanduva";2014;"Total da Seleção";4.330
80004;"Aricanduva";2014;"Total Geral da População";87.887
80005;"Artur Alvim";2014;"00 a 03 anos";5.143
80005;"Artur Alvim";2014;"Total da Seleção";5.143
80005;"Artur Alvim";2014;"Total Geral da População";103.127
80006;"Barra Funda";2014;"00 a 03 anos";800
80006;"Barra Funda";2014;"Total da Seleção";800
80006;"Barra Funda";2014;"Total Geral da População";15.033
80007;"Bela Vista";2014;"00 a 03 anos";3.227
80007;"Bela Vista";2014;"Total da Seleção";3.227
80007;"Bela Vista";2014;"Total Geral da População";71.225
80008;"Belém";2014;"00 a 03 anos";3.255
80008;"Belém";2014;"Total da Seleção";3.255
80008;"Belém";2014;"Total Geral da População";46.929
80009;"Bom Retiro";2014;"00 a 03 anos";2.367
80009;"Bom Retiro";2014;"Total da Seleção";2.367
80009;"Bom Retiro";2014;"Total Geral da População";36.165
80010;"Brás";2014;"00 a 03 anos";2.260
80010;"Brás";2014;"Total da Seleção";2.260
80010;"Brás";2014;"Total Geral da População";30.953
80011;"Brasilândia";2014;"00 a 03 anos";19.213
80011;"Brasilândia";2014;"Total da Seleção";19.213
80011;"Brasilândia";2014;"Total Geral da População";271.761
80012;"Butantã";2014;"00 a 03 anos";2.260
80012;"Butantã";2014;"Total da Seleção";2.260
80012;"Butantã";2014;"Total Geral da População";54.170
80013;"Cachoeirinha";2014;"00 a 03 anos";9.439
80013;"Cachoeirinha";2014;"Total da Seleção";9.439
80013;"Cachoeirinha";2014;"Total Geral da População";144.416
80014;"Cambuci";2014;"00 a 03 anos";2.037
80014;"Cambuci";2014;"Total da Seleção";2.037
80014;"Cambuci";2014;"Total Geral da População";38.674
80015;"Campo Belo";2014;"00 a 03 anos";2.862
