"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2015;"00 a 03 anos";4.054
80001;"Água Rasa";2015;"Total da Seleção";4.054
80001;"Água Rasa";2015;"Total Geral da População";83.960
80002;"Alto de Pinheiros";2015;"00 a 03 anos";1.421
80002;"Alto de Pinheiros";2015;"Total da Seleção";1.421
80002;"Alto de Pinheiros";2015;"Total Geral da População";42.113
80003;"Anhanguera";2015;"00 a 03 anos";4.560
80003;"Anhanguera";2015;"Total da Seleção";4.560
80003;"Anhanguera";2015;"Total Geral da População";76.340
80004;"Aricanduva";2015;"00 a 03 anos";4.390
80004;"Aricanduva";2015;"Total da Seleção";4.390
80004;"Aricanduva";2015;"Total Geral da População";87.440
80005;"Artur Alvim";2015;"00 a 03 anos";5.180
80005;"Artur Alvim";2015;"Total da Seleção";5.180
80005;"Artur Alvim";2015;"Total Geral da População";102.575
80006;"Barra Funda";2015;"00 a 03 anos";862
80006;"Barra Funda";2015;"Total da Seleção";862
80006;"Barra Funda";2015;"Total Geral da População";15.200
80007;"Bela Vista";2015;"00 a 03 anos";3.525
80007;"Bela Vista";2015;"Total da Seleção";3.525
80007;"Bela Vista";2015;"Total Geral da População";71.680
80008;"Belém";2015;"00 a 03 anos";3.619
80008;"Belém";2015;"Total da Seleção";3.619
80008;"Belém";2015;"Total Geral da População";47.416
80009;"Bom Retiro";2015;"00 a 03 anos";2.552
80009;"Bom Retiro";2015;"Total da Seleção";2.552
80009;"Bom Retiro";2015;"Total Geral da População";36.771
80010;"Brás";2015;"00 a 03 anos";2.544
80010;"Brás";2015;"Total da Seleção";2.544
80010;"Brás";2015;"Total Geral da População";31.398
80011;"Brasilândia";2015;"00 a 03 anos";20.117
80011;"Brasilândia";2015;"Total da Seleção";20.117
80011;"Brasilândia";2015;"Total Geral da População";273.511
80012;"Butantã";2015;"00 a 03 anos";2.363
80012;"Butantã";2015;"Total da Seleção";2.363
80012;"Butantã";2015;"Total Geral da População";54.162
80013;"Cachoeirinha";2015;"00 a 03 anos";9.770
80013;"Cachoeirinha";2015;"Total da Seleção";9.770
80013;"Cachoeirinha";2015;"Total Geral da População";144.618
80014;"Cambuci";2015;"00 a 03 anos";2.128
80014;"Cambuci";2015;"Total da Seleção";2.128
80014;"Cambuci";2015;"Total Geral da População";39.134
80015;"Campo Belo";2015;"00 a 03 anos";2.943
80015;"Campo Belo";2015;"Total da Seleção";2.943
80015;"Campo Belo";2015;"Total Geral da População";64.827
80016;"Campo Grande";2015;"00 a 03 anos";4.919
80016;"Campo Grande";2015;"Total da Seleção";4.919
80016;"Campo Grande";2015;"Total Geral da População";104.246
80017;"Campo Limpo";2015;"00 a 03 anos";13.682
80017;"Campo Limpo";2015;"Total da Seleção";13.682
80017;"Campo Limpo";2015;"Total Geral da População";220.669
80018;"Cangaiba";2015;"00 a 03 anos";8.252
80018;"Cangaiba";2015;"Total da Seleção";8.252
80018;"Cangaiba";2015;"Total Geral da População";137.156
80019;"Capão Redondo";2015;"00 a 03 anos";18.910
80019;"Capão Redondo";2015;"Total da Seleção";18.910
80019;"Capão Redondo";2015;"Total Geral da População";282.923
80020;"Carrão";2015;"00 a 03 anos";3.701
80020;"Carrão";2015;"Total da Seleção";3.701
80020;"Carrão";2015;"Total Geral da População";84.435
80021;"Casa Verde";2015;"00 a 03 anos";4.849
80021;"Casa Verde";2015;"Total da Seleção";4.849
80021;"Casa Verde";2015;"Total Geral da População";86.001
80022;"Cidade Ademar";2015;"00 a 03 anos";18.152
80022;"Cidade Ademar";2015;"Total da Seleção";18.152
80022;"Cidade Ademar";2015;"Total Geral da População";277.070
80023;"Cidade Dutra";2015;"00 a 03 anos";12.011
80023;"Cidade Dutra";2015;"Total da Seleção";12.011
80023;"Cidade Dutra";2015;"Total Geral da População";198.943
80024;"Cidade Lider";2015;"00 a 03 anos";7.680
80024;"Cidade Lider";2015;"Total da Seleção";7.680
80024;"Cidade Lider";2015;"Total Geral da População";131.155
80025;"Cidade Tiradentes";2015;"00 a 03 anos";14.610
80025;"Cidade Tiradentes";2015;"Total da Seleção";14.610
80025;"Cidade Tiradentes";2015;"Total Geral da População";223.236
80026;"Consolação";2015;"00 a 03 anos";1.866
80026;"Consolação";2015;"Total da Seleção";1.866
80026;"Consolação";2015;"Total Geral da População";57.471
80027;"Cursino";2015;"00 a 03 anos";5.628
80027;"Cursino";2015;"Total da Seleção";5.628
80027;"Cursino";2015;"Total Geral da População";111.803
80028;"Ermelino Matarazzo";2015;"00 a 03 anos";7.007
80028;"Ermelino Matarazzo";2015;"Total da Seleção";7.007
80028;"Ermelino Matarazzo";2015;"Total Geral da População";116.471
80029;"Freguesia do Ó";2015;"00 a 03 anos";7.715
80029;"Freguesia do Ó";2015;"Total da Seleção";7.715
80029;"Freguesia do Ó";2015;"Total Geral da População";141.255
80030;"Grajaú";2015;"00 a 03 anos";26.280
80030;"Grajaú";2015;"Total da Seleção";26.280
80030;"Grajaú";2015;"Total Geral da População";375.467
80031;"Guaianases";2015;"00 a 03 anos";7.284
80031;"Guaianases";2015;"Total da Seleção";7.284
80031;"Guaianases";2015;"Total Geral da População";106.533
80033;"Iguatemi";2015;"00 a 03 anos";9.728
80033;"Iguatemi";2015;"Total da Seleção";9.728
80033;"Iguatemi";2015;"Total Geral da População";138.902
80034;"Ipiranga";2015;"00 a 03 anos";5.521
80034;"Ipiranga";2015;"Total da Seleção";5.521
80034;"Ipiranga";2015;"Total Geral da População";109.823
80035;"Itaim Bibi";2015;"00 a 03 anos";4.293
80035;"Itaim Bibi";2015;"Total da Seleção";4.293
80035;"Itaim Bibi";2015;"Total Geral da População";95.550
80036;"Itaim Paulista";2015;"00 a 03 anos";14.860
80036;"Itaim Paulista";2015;"Total da Seleção";14.860
80036;"Itaim Paulista";2015;"Total Geral da População";229.180
80037;"Itaquera";2015;"00 a 03 anos";12.807
80037;"Itaquera";2015;"Total da Seleção";12.807
80037;"Itaquera";2015;"Total Geral da População";208.042
80038;"Jabaquara";2015;"00 a 03 anos";12.543
80038;"Jabaquara";2015;"Total da Seleção";12.543
80038;"Jabaquara";2015;"Total Geral da População";226.648
80039;"Jaçanã";2015;"00 a 03 anos";5.010
80039;"Jaçanã";2015;"Total da Seleção";5.010
80039;"Jaçanã";2015;"Total Geral da População";95.433
80040;"Jaguara";2015;"00 a 03 anos";1.221
80040;"Jaguara";2015;"Total da Seleção";1.221
80040;"Jaguara";2015;"Total Geral da População";24.400
80041;"Jaguaré";2015;"00 a 03 anos";3.019
80041;"Jaguaré";2015;"Total da Seleção";3.019
80041;"Jaguaré";2015;"Total Geral da População";52.745
80042;"Jaraguá";2015;"00 a 03 anos";13.003
80042;"Jaraguá";2015;"Total da Seleção";13.003
80042;"Jaraguá";2015;"Total Geral da População";200.070
80043;"Jardim Ângela";2015;"00 a 03 anos";22.104
80043;"Jardim Ângela";2015;"Total da Seleção";22.104
80043;"Jardim Ângela";2015;"Total Geral da População";317.659
80044;"Jardim Helena";2015;"00 a 03 anos";9.686
80044;"Jardim Helena";2015;"Total da Seleção";9.686
80044;"Jardim Helena";2015;"Total Geral da População";134.339
80045;"Jardim Paulista";2015;"00 a 03 anos";3.595
80045;"Jardim Paulista";2015;"Total da Seleção";3.595
80045;"Jardim Paulista";2015;"Total Geral da População";90.046
80046;"Jardim São Luís";2015;"00 a 03 anos";18.187
80046;"Jardim São Luís";2015;"Total da Seleção";18.187
80046;"Jardim São Luís";2015;"Total Geral da População";281.480
80047;"José Bonifácio";2015;"00 a 03 anos";6.806
80047;"José Bonifácio";2015;"Total da Seleção";6.806
80047;"José Bonifácio";2015;"Total Geral da População";131.122
80096;"Lajeado";2015;"00 a 03 anos";11.652
80096;"Lajeado";2015;"Total da Seleção";11.652
80096;"Lajeado";2015;"Total Geral da População";169.214
80048;"Lapa";2015;"00 a 03 anos";2.857
80048;"Lapa";2015;"Total da Seleção";2.857
80048;"Lapa";2015;"Total Geral da População";66.891
80049;"Liberdade";2015;"00 a 03 anos";3.530
80049;"Liberdade";2015;"Total da Seleção";3.530
80049;"Liberdade";2015;"Total Geral da População";71.318
80050;"Limão";2015;"00 a 03 anos";4.970
80050;"Limão";2015;"Total da Seleção";4.970
80050;"Limão";2015;"Total Geral da População";79.417
80051;"Mandaqui";2015;"00 a 03 anos";5.321
80051;"Mandaqui";2015;"Total da Seleção";5.321
80051;"Mandaqui";2015;"Total Geral da População";108.714
80052;"Marsilac";2015;"00 a 03 anos";406
80052;"Marsilac";2015;"Total da Seleção";406
80052;"Marsilac";2015;"Total Geral da População";8.288
80032;"Moema";2015;"00 a 03 anos";3.351
80032;"Moema";2015;"Total da Seleção";3.351
80032;"Moema";2015;"Total Geral da População";87.213
80053;"Mooca";2015;"00 a 03 anos";3.791
80053;"Mooca";2015;"Total da Seleção";3.791
80053;"Mooca";2015;"Total Geral da População";78.658
80054;"Morumbi";2015;"00 a 03 anos";3.042
80054;"Morumbi";2015;"Total da Seleção";3.042
80054;"Morumbi";2015;"Total Geral da População";50.430
80055;"Parelheiros";2015;"00 a 03 anos";10.452
80055;"Parelheiros";2015;"Total da Seleção";10.452
80055;"Parelheiros";2015;"Total Geral da População";142.593
80056;"Pari";2015;"00 a 03 anos";1.314
80056;"Pari";2015;"Total da Seleção";1.314
80056;"Pari";2015;"Total Geral da População";18.282
80057;"Parque do Carmo";2015;"00 a 03 anos";4.333
80057;"Parque do Carmo";2015;"Total da Seleção";4.333
80057;"Parque do Carmo";2015;"Total Geral da População";70.091
80058;"Pedreira";2015;"00 a 03 anos";9.045
80058;"Pedreira";2015;"Total da Seleção";9.045
80058;"Pedreira";2015;"Total Geral da População";152.850
80059;"Penha";2015;"00 a 03 anos";6.441
80059;"Penha";2015;"Total da Seleção";6.441
80059;"Penha";2015;"Total Geral da População";128.776
80060;"Perdizes";2015;"00 a 03 anos";4.336
80060;"Perdizes";2015;"Total da Seleção";4.336
80060;"Perdizes";2015;"Total Geral da População";113.585
80061;"Perus";2015;"00 a 03 anos";6.065
80061;"Perus";2015;"Total da Seleção";6.065
80061;"Perus";2015;"Total Geral da População";84.772
80062;"Pinheiros";2015;"00 a 03 anos";2.604
80062;"Pinheiros";2015;"Total da Seleção";2.604
80062;"Pinheiros";2015;"Total Geral da População";65.829
80063;"Pirituba";2015;"00 a 03 anos";9.357
80063;"Pirituba";2015;"Total da Seleção";9.357
80063;"Pirituba";2015;"Total Geral da População";169.733
80064;"Ponte Rasa";2015;"00 a 03 anos";4.690
80064;"Ponte Rasa";2015;"Total da Seleção";4.690
80064;"Ponte Rasa";2015;"Total Geral da População";91.616
80065;"Raposo Tavares";2015;"00 a 03 anos";7.134
80065;"Raposo Tavares";2015;"Total da Seleção";7.134
