"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80040;"Jaguara";2011;"00 a 03 anos";1.058
80040;"Jaguara";2011;"Total da Seleção";1.058
80040;"Jaguara";2011;"Total Geral da População";24.803
80041;"Jaguaré";2011;"00 a 03 anos";2.661
80041;"Jaguaré";2011;"Total da Seleção";2.661
80041;"Jaguaré";2011;"Total Geral da População";50.378
80042;"Jaraguá";2011;"00 a 03 anos";10.993
80042;"Jaraguá";2011;"Total da Seleção";10.993
80042;"Jaraguá";2011;"Total Geral da População";187.490
80043;"Jardim Ângela";2011;"00 a 03 anos";20.094
80043;"Jardim Ângela";2011;"Total da Seleção";20.094
80043;"Jardim Ângela";2011;"Total Geral da População";299.406
80044;"Jardim Helena";2011;"00 a 03 anos";8.487
80044;"Jardim Helena";2011;"Total da Seleção";8.487
80044;"Jardim Helena";2011;"Total Geral da População";134.939
80045;"Jardim Paulista";2011;"00 a 03 anos";2.834
80045;"Jardim Paulista";2011;"Total da Seleção";2.834
80045;"Jardim Paulista";2011;"Total Geral da População";88.935
80046;"Jardim São Luís";2011;"00 a 03 anos";15.650
80046;"Jardim São Luís";2011;"Total da Seleção";15.650
80046;"Jardim São Luís";2011;"Total Geral da População";270.357
80047;"José Bonifácio";2011;"00 a 03 anos";6.928
80047;"José Bonifácio";2011;"Total da Seleção";6.928
80047;"José Bonifácio";2011;"Total Geral da População";125.379
80096;"Lajeado";2011;"00 a 03 anos";10.626
80096;"Lajeado";2011;"Total da Seleção";10.626
80096;"Lajeado";2011;"Total Geral da População";165.407
80048;"Lapa";2011;"00 a 03 anos";2.498
80048;"Lapa";2011;"Total da Seleção";2.498
80048;"Lapa";2011;"Total Geral da População";65.935
80049;"Liberdade";2011;"00 a 03 anos";2.704
80049;"Liberdade";2011;"Total da Seleção";2.704
80049;"Liberdade";2011;"Total Geral da População";69.488
80050;"Limão";2011;"00 a 03 anos";4.005
80050;"Limão";2011;"Total da Seleção";4.005
80050;"Limão";2011;"Total Geral da População";80.086
80051;"Mandaqui";2011;"00 a 03 anos";4.691
80051;"Mandaqui";2011;"Total da Seleção";4.691
80051;"Mandaqui";2011;"Total Geral da População";107.786
80052;"Marsilac";2011;"00 a 03 anos";475
80052;"Marsilac";2011;"Total da Seleção";475
80052;"Marsilac";2011;"Total Geral da População";8.264
80032;"Moema";2011;"00 a 03 anos";3.138
80032;"Moema";2011;"Total da Seleção";3.138
80032;"Moema";2011;"Total Geral da População";84.044
80053;"Mooca";2011;"00 a 03 anos";3.120
80053;"Mooca";2011;"Total da Seleção";3.120
80053;"Mooca";2011;"Total Geral da População";76.218
80054;"Morumbi";2011;"00 a 03 anos";2.235
80054;"Morumbi";2011;"Total da Seleção";2.235
80054;"Morumbi";2011;"Total Geral da População";47.540
80055;"Parelheiros";2011;"00 a 03 anos";8.661
80055;"Parelheiros";2011;"Total da Seleção";8.661
80055;"Parelheiros";2011;"Total Geral da População";133.181
80056;"Pari";2011;"00 a 03 anos";936
80056;"Pari";2011;"Total da Seleção";936
80056;"Pari";2011;"Total Geral da População";17.475
80057;"Parque do Carmo";2011;"00 a 03 anos";3.930
80057;"Parque do Carmo";2011;"Total da Seleção";3.930
80057;"Parque do Carmo";2011;"Total Geral da População";68.598
80058;"Pedreira";2011;"00 a 03 anos";8.820
80058;"Pedreira";2011;"Total da Seleção";8.820
80058;"Pedreira";2011;"Total Geral da População";145.874
80059;"Penha";2011;"00 a 03 anos";5.557
80059;"Penha";2011;"Total da Seleção";5.557
80059;"Penha";2011;"Total Geral da População";127.999
80060;"Perdizes";2011;"00 a 03 anos";3.899
80060;"Perdizes";2011;"Total da Seleção";3.899
80060;"Perdizes";2011;"Total Geral da População";111.591
80061;"Perus";2011;"00 a 03 anos";5.050
80061;"Perus";2011;"Total da Seleção";5.050
80061;"Perus";2011;"Total Geral da População";81.021
80062;"Pinheiros";2011;"00 a 03 anos";2.209
80062;"Pinheiros";2011;"Total da Seleção";2.209
80062;"Pinheiros";2011;"Total Geral da População";65.446
80063;"Pirituba";2011;"00 a 03 anos";8.408
80063;"Pirituba";2011;"Total da Seleção";8.408
80063;"Pirituba";2011;"Total Geral da População";168.263
80064;"Ponte Rasa";2011;"00 a 03 anos";4.487
80064;"Ponte Rasa";2011;"Total da Seleção";4.487
80064;"Ponte Rasa";2011;"Total Geral da População";93.469
80065;"Raposo Tavares";2011;"00 a 03 anos";5.814
80065;"Raposo Tavares";2011;"Total da Seleção";5.814
80065;"Raposo Tavares";2011;"Total Geral da População";100.863
80066;"República";2011;"00 a 03 anos";2.153
80066;"República";2011;"Total da Seleção";2.153
80066;"República";2011;"Total Geral da População";57.521
80067;"Rio Pequeno";2011;"00 a 03 anos";6.323
80067;"Rio Pequeno";2011;"Total da Seleção";6.323
80067;"Rio Pequeno";2011;"Total Geral da População";118.993
80068;"Sacomã";2011;"00 a 03 anos";12.773
80068;"Sacomã";2011;"Total da Seleção";12.773
80068;"Sacomã";2011;"Total Geral da População";249.439
80069;"Santa Cecília";2011;"00 a 03 anos";3.109
80069;"Santa Cecília";2011;"Total da Seleção";3.109
80069;"Santa Cecília";2011;"Total Geral da População";84.235
80070;"Santana";2011;"00 a 03 anos";4.251
80070;"Santana";2011;"Total da Seleção";4.251
80070;"Santana";2011;"Total Geral da População";118.203
80071;"Santo Amaro";2011;"00 a 03 anos";2.729
80071;"Santo Amaro";2011;"Total da Seleção";2.729
80071;"Santo Amaro";2011;"Total Geral da População";71.903
80095;"São Domingos";2011;"00 a 03 anos";4.241
80095;"São Domingos";2011;"Total da Seleção";4.241
80095;"São Domingos";2011;"Total Geral da População";84.998
80072;"São Lucas";2011;"00 a 03 anos";6.543
80072;"São Lucas";2011;"Total da Seleção";6.543
80072;"São Lucas";2011;"Total Geral da População";142.457
80073;"São Mateus";2011;"00 a 03 anos";8.287
80073;"São Mateus";2011;"Total da Seleção";8.287
80073;"São Mateus";2011;"Total Geral da População";155.095
