"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2016;"00 a 03 anos";3.912
80001;"Água Rasa";2016;"Total da Seleção";3.912
80001;"Água Rasa";2016;"Total Geral da População";83.683
80002;"Alto de Pinheiros";2016;"00 a 03 anos";1.379
80002;"Alto de Pinheiros";2016;"Total da Seleção";1.379
80002;"Alto de Pinheiros";2016;"Total Geral da População";41.882
80003;"Anhanguera";2016;"00 a 03 anos";4.612
80003;"Anhanguera";2016;"Total da Seleção";4.612
80003;"Anhanguera";2016;"Total Geral da População";77.950
80004;"Aricanduva";2016;"00 a 03 anos";4.273
80004;"Aricanduva";2016;"Total da Seleção";4.273
80004;"Aricanduva";2016;"Total Geral da População";87.128
80005;"Artur Alvim";2016;"00 a 03 anos";5.047
80005;"Artur Alvim";2016;"Total da Seleção";5.047
80005;"Artur Alvim";2016;"Total Geral da População";102.154
80006;"Barra Funda";2016;"00 a 03 anos";838
80006;"Barra Funda";2016;"Total da Seleção";838
80006;"Barra Funda";2016;"Total Geral da População";15.379
80007;"Bela Vista";2016;"00 a 03 anos";3.443
80007;"Bela Vista";2016;"Total da Seleção";3.443
80007;"Bela Vista";2016;"Total Geral da População";71.992
80008;"Belém";2016;"00 a 03 anos";3.472
80008;"Belém";2016;"Total da Seleção";3.472
80008;"Belém";2016;"Total Geral da População";47.772
80009;"Bom Retiro";2016;"00 a 03 anos";2.475
80009;"Bom Retiro";2016;"Total da Seleção";2.475
80009;"Bom Retiro";2016;"Total Geral da População";37.184
80010;"Brás";2016;"00 a 03 anos";2.429
80010;"Brás";2016;"Total da Seleção";2.429
80010;"Brás";2016;"Total Geral da População";31.723
80011;"Brasilândia";2016;"00 a 03 anos";19.686
80011;"Brasilândia";2016;"Total da Seleção";19.686
80011;"Brasilândia";2016;"Total Geral da População";275.198
80012;"Butantã";2016;"00 a 03 anos";2.292
80012;"Butantã";2016;"Total da Seleção";2.292
80012;"Butantã";2016;"Total Geral da População";54.100
80013;"Cachoeirinha";2016;"00 a 03 anos";9.498
80013;"Cachoeirinha";2016;"Total da Seleção";9.498
80013;"Cachoeirinha";2016;"Total Geral da População";144.977
80014;"Cambuci";2016;"00 a 03 anos";2.075
80014;"Cambuci";2016;"Total da Seleção";2.075
80014;"Cambuci";2016;"Total Geral da População";39.438
80015;"Campo Belo";2016;"00 a 03 anos";2.836
80015;"Campo Belo";2016;"Total da Seleção";2.836
80015;"Campo Belo";2016;"Total Geral da População";64.612
80016;"Campo Grande";2016;"00 a 03 anos";4.799
80016;"Campo Grande";2016;"Total da Seleção";4.799
80016;"Campo Grande";2016;"Total Geral da População";104.742
80017;"Campo Limpo";2016;"00 a 03 anos";13.452
80017;"Campo Limpo";2016;"Total da Seleção";13.452
80017;"Campo Limpo";2016;"Total Geral da População";222.301
80018;"Cangaiba";2016;"00 a 03 anos";8.032
80018;"Cangaiba";2016;"Total da Seleção";8.032
80018;"Cangaiba";2016;"Total Geral da População";137.352
80019;"Capão Redondo";2016;"00 a 03 anos";18.598
80019;"Capão Redondo";2016;"Total da Seleção";18.598
80019;"Capão Redondo";2016;"Total Geral da População";285.580
80020;"Carrão";2016;"00 a 03 anos";3.614
80020;"Carrão";2016;"Total da Seleção";3.614
80020;"Carrão";2016;"Total Geral da População";84.536
80021;"Casa Verde";2016;"00 a 03 anos";4.700
80021;"Casa Verde";2016;"Total da Seleção";4.700
80021;"Casa Verde";2016;"Total Geral da População";86.006
80022;"Cidade Ademar";2016;"00 a 03 anos";17.760
80022;"Cidade Ademar";2016;"Total da Seleção";17.760
80022;"Cidade Ademar";2016;"Total Geral da População";278.784
80023;"Cidade Dutra";2016;"00 a 03 anos";11.736
80023;"Cidade Dutra";2016;"Total da Seleção";11.736
80023;"Cidade Dutra";2016;"Total Geral da População";199.784
80024;"Cidade Lider";2016;"00 a 03 anos";7.546
80024;"Cidade Lider";2016;"Total da Seleção";7.546
80024;"Cidade Lider";2016;"Total Geral da População";131.970
80025;"Cidade Tiradentes";2016;"00 a 03 anos";14.572
80025;"Cidade Tiradentes";2016;"Total da Seleção";14.572
80025;"Cidade Tiradentes";2016;"Total Geral da População";225.672
80026;"Consolação";2016;"00 a 03 anos";1.875
80026;"Consolação";2016;"Total da Seleção";1.875
80026;"Consolação";2016;"Total Geral da População";57.461
80027;"Cursino";2016;"00 a 03 anos";5.466
80027;"Cursino";2016;"Total da Seleção";5.466
80027;"Cursino";2016;"Total Geral da População";112.191
80028;"Ermelino Matarazzo";2016;"00 a 03 anos";6.863
80028;"Ermelino Matarazzo";2016;"Total da Seleção";6.863
80028;"Ermelino Matarazzo";2016;"Total Geral da População";116.923
80029;"Freguesia do Ó";2016;"00 a 03 anos";7.488
80029;"Freguesia do Ó";2016;"Total da Seleção";7.488
80029;"Freguesia do Ó";2016;"Total Geral da População";141.027
80030;"Grajaú";2016;"00 a 03 anos";25.814
80030;"Grajaú";2016;"Total da Seleção";25.814
80030;"Grajaú";2016;"Total Geral da População";378.370
80031;"Guaianases";2016;"00 a 03 anos";7.163
80031;"Guaianases";2016;"Total da Seleção";7.163
80031;"Guaianases";2016;"Total Geral da População";107.171
80033;"Iguatemi";2016;"00 a 03 anos";9.683
80033;"Iguatemi";2016;"Total da Seleção";9.683
80033;"Iguatemi";2016;"Total Geral da População";141.012
80034;"Ipiranga";2016;"00 a 03 anos";5.377
80034;"Ipiranga";2016;"Total da Seleção";5.377
80034;"Ipiranga";2016;"Total Geral da População";110.304
80035;"Itaim Bibi";2016;"00 a 03 anos";4.146
80035;"Itaim Bibi";2016;"Total da Seleção";4.146
80035;"Itaim Bibi";2016;"Total Geral da População";95.888
80036;"Itaim Paulista";2016;"00 a 03 anos";14.626
80036;"Itaim Paulista";2016;"Total da Seleção";14.626
80036;"Itaim Paulista";2016;"Total Geral da População";230.326
80037;"Itaquera";2016;"00 a 03 anos";12.524
80037;"Itaquera";2016;"Total da Seleção";12.524
80037;"Itaquera";2016;"Total Geral da População";208.751
80038;"Jabaquara";2016;"00 a 03 anos";12.194
80038;"Jabaquara";2016;"Total da Seleção";12.194
80038;"Jabaquara";2016;"Total Geral da População";227.197
80039;"Jaçanã";2016;"00 a 03 anos";4.934
80039;"Jaçanã";2016;"Total da Seleção";4.934
80039;"Jaçanã";2016;"Total Geral da População";95.562
80040;"Jaguara";2016;"00 a 03 anos";1.181
80040;"Jaguara";2016;"Total da Seleção";1.181
80040;"Jaguara";2016;"Total Geral da População";24.312
80041;"Jaguaré";2016;"00 a 03 anos";2.953
80041;"Jaguaré";2016;"Total da Seleção";2.953
80041;"Jaguaré";2016;"Total Geral da População";53.227
80042;"Jaraguá";2016;"00 a 03 anos";12.858
80042;"Jaraguá";2016;"Total da Seleção";12.858
80042;"Jaraguá";2016;"Total Geral da População";202.568
80043;"Jardim Ângela";2016;"00 a 03 anos";21.843
80043;"Jardim Ângela";2016;"Total da Seleção";21.843
80043;"Jardim Ângela";2016;"Total Geral da População";321.695
80044;"Jardim Helena";2016;"00 a 03 anos";9.473
80044;"Jardim Helena";2016;"Total da Seleção";9.473
80044;"Jardim Helena";2016;"Total Geral da População";134.598
80045;"Jardim Paulista";2016;"00 a 03 anos";3.512
80045;"Jardim Paulista";2016;"Total da Seleção";3.512
80045;"Jardim Paulista";2016;"Total Geral da População";90.185
80046;"Jardim São Luís";2016;"00 a 03 anos";17.823
80046;"Jardim São Luís";2016;"Total da Seleção";17.823
80046;"Jardim São Luís";2016;"Total Geral da População";283.890
80047;"José Bonifácio";2016;"00 a 03 anos";6.763
80047;"José Bonifácio";2016;"Total da Seleção";6.763
80047;"José Bonifácio";2016;"Total Geral da População";132.199
80096;"Lajeado";2016;"00 a 03 anos";11.482
80096;"Lajeado";2016;"Total da Seleção";11.482
80096;"Lajeado";2016;"Total Geral da População";170.274
80048;"Lapa";2016;"00 a 03 anos";2.768
80048;"Lapa";2016;"Total da Seleção";2.768
80048;"Lapa";2016;"Total Geral da População";66.950
80049;"Liberdade";2016;"00 a 03 anos";3.412
80049;"Liberdade";2016;"Total da Seleção";3.412
80049;"Liberdade";2016;"Total Geral da População";71.616
80050;"Limão";2016;"00 a 03 anos";4.812
80050;"Limão";2016;"Total da Seleção";4.812
80050;"Limão";2016;"Total Geral da População";79.469
80051;"Mandaqui";2016;"00 a 03 anos";5.189
80051;"Mandaqui";2016;"Total da Seleção";5.189
80051;"Mandaqui";2016;"Total Geral da População";108.822
80052;"Marsilac";2016;"00 a 03 anos";413
80052;"Marsilac";2016;"Total da Seleção";413
80052;"Marsilac";2016;"Total Geral da População";8.316
80032;"Moema";2016;"00 a 03 anos";3.269
80032;"Moema";2016;"Total da Seleção";3.269
80032;"Moema";2016;"Total Geral da População";87.647
80053;"Mooca";2016;"00 a 03 anos";3.685
80053;"Mooca";2016;"Total da Seleção";3.685
80053;"Mooca";2016;"Total Geral da População";78.993
80054;"Morumbi";2016;"00 a 03 anos";2.956
80054;"Morumbi";2016;"Total da Seleção";2.956
80054;"Morumbi";2016;"Total Geral da População";50.920
80055;"Parelheiros";2016;"00 a 03 anos";10.390
80055;"Parelheiros";2016;"Total da Seleção";10.390
80055;"Parelheiros";2016;"Total Geral da População";144.736
80056;"Pari";2016;"00 a 03 anos";1.276
