"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2012;"00 a 03 anos";3.516
80001;"Água Rasa";2012;"Total da Seleção";3.516
80001;"Água Rasa";2012;"Total Geral da População";84.576
80002;"Alto de Pinheiros";2012;"00 a 03 anos";1.419
80002;"Alto de Pinheiros";2012;"Total da Seleção";1.419
80002;"Alto de Pinheiros";2012;"Total Geral da População";42.724
80003;"Anhanguera";2012;"00 a 03 anos";4.277
80003;"Anhanguera";2012;"Total da Seleção";4.277
80003;"Anhanguera";2012;"Total Geral da População";69.686
80004;"Aricanduva";2012;"00 a 03 anos";4.198
80004;"Aricanduva";2012;"Total da Seleção";4.198
80004;"Aricanduva";2012;"Total Geral da População";88.779
80005;"Artur Alvim";2012;"00 a 03 anos";5.060
80005;"Artur Alvim";2012;"Total da Seleção";5.060
80005;"Artur Alvim";2012;"Total Geral da População";104.225
80006;"Barra Funda";2012;"00 a 03 anos";684
80006;"Barra Funda";2012;"Total da Seleção";684
80006;"Barra Funda";2012;"Total Geral da População";14.699
80007;"Bela Vista";2012;"00 a 03 anos";2.678
80007;"Bela Vista";2012;"Total da Seleção";2.678
80007;"Bela Vista";2012;"Total Geral da População";70.315
80008;"Belém";2012;"00 a 03 anos";2.615
80008;"Belém";2012;"Total da Seleção";2.615
80008;"Belém";2012;"Total Geral da População";45.964
80009;"Bom Retiro";2012;"00 a 03 anos";2.030
80009;"Bom Retiro";2012;"Total da Seleção";2.030
80009;"Bom Retiro";2012;"Total Geral da População";34.978
80010;"Brás";2012;"00 a 03 anos";1.769
80010;"Brás";2012;"Total da Seleção";1.769
80010;"Brás";2012;"Total Geral da População";30.082
80011;"Brasilândia";2012;"00 a 03 anos";17.459
80011;"Brasilândia";2012;"Total da Seleção";17.459
80011;"Brasilândia";2012;"Total Geral da População";268.263
80012;"Butantã";2012;"00 a 03 anos";2.068
80012;"Butantã";2012;"Total da Seleção";2.068
80012;"Butantã";2012;"Total Geral da População";54.183
80013;"Cachoeirinha";2012;"00 a 03 anos";8.782
80013;"Cachoeirinha";2012;"Total da Seleção";8.782
80013;"Cachoeirinha";2012;"Total Geral da População";143.998
80014;"Cambuci";2012;"00 a 03 anos";1.865
80014;"Cambuci";2012;"Total da Seleção";1.865
80014;"Cambuci";2012;"Total Geral da População";37.765
80015;"Campo Belo";2012;"00 a 03 anos";2.706
80015;"Campo Belo";2012;"Total da Seleção";2.706
80015;"Campo Belo";2012;"Total Geral da População";65.395
80016;"Campo Grande";2012;"00 a 03 anos";4.732
80016;"Campo Grande";2012;"Total da Seleção";4.732
80016;"Campo Grande";2012;"Total Geral da População";102.075
80017;"Campo Limpo";2012;"00 a 03 anos";12.957
80017;"Campo Limpo";2012;"Total da Seleção";12.957
80017;"Campo Limpo";2012;"Total Geral da População";214.956
80018;"Cangaiba";2012;"00 a 03 anos";7.314
80018;"Cangaiba";2012;"Total da Seleção";7.314
80018;"Cangaiba";2012;"Total Geral da População";136.856
80019;"Capão Redondo";2012;"00 a 03 anos";17.067
80019;"Capão Redondo";2012;"Total da Seleção";17.067
80019;"Capão Redondo";2012;"Total Geral da População";274.201
80020;"Carrão";2012;"00 a 03 anos";3.391
80020;"Carrão";2012;"Total da Seleção";3.391
80020;"Carrão";2012;"Total Geral da População";83.725
80021;"Casa Verde";2012;"00 a 03 anos";4.203
80021;"Casa Verde";2012;"Total da Seleção";4.203
80021;"Casa Verde";2012;"Total Geral da População";85.776
80022;"Cidade Ademar";2012;"00 a 03 anos";16.166
80022;"Cidade Ademar";2012;"Total da Seleção";16.166
80022;"Cidade Ademar";2012;"Total Geral da População";270.700
80023;"Cidade Dutra";2012;"00 a 03 anos";10.965
80023;"Cidade Dutra";2012;"Total da Seleção";10.965
80023;"Cidade Dutra";2012;"Total Geral da População";197.388
80024;"Cidade Lider";2012;"00 a 03 anos";7.078
80024;"Cidade Lider";2012;"Total da Seleção";7.078
80024;"Cidade Lider";2012;"Total Geral da População";128.366
80025;"Cidade Tiradentes";2012;"00 a 03 anos";14.005
80025;"Cidade Tiradentes";2012;"Total da Seleção";14.005
80025;"Cidade Tiradentes";2012;"Total Geral da População";216.029
80026;"Consolação";2012;"00 a 03 anos";1.514
80026;"Consolação";2012;"Total da Seleção";1.514
80026;"Consolação";2012;"Total Geral da População";57.401
80027;"Cursino";2012;"00 a 03 anos";5.057
80027;"Cursino";2012;"Total da Seleção";5.057
80027;"Cursino";2012;"Total Geral da População";110.144
80028;"Ermelino Matarazzo";2012;"00 a 03 anos";6.583
80028;"Ermelino Matarazzo";2012;"Total da Seleção";6.583
80028;"Ermelino Matarazzo";2012;"Total Geral da População";114.728
80029;"Freguesia do Ó";2012;"00 a 03 anos";6.782
80029;"Freguesia do Ó";2012;"Total da Seleção";6.782
80029;"Freguesia do Ó";2012;"Total Geral da População";141.928
80030;"Grajaú";2012;"00 a 03 anos";23.869
80030;"Grajaú";2012;"Total da Seleção";23.869
80030;"Grajaú";2012;"Total Geral da População";366.480
80031;"Guaianases";2012;"00 a 03 anos";6.600
80031;"Guaianases";2012;"Total da Seleção";6.600
80031;"Guaianases";2012;"Total Geral da População";104.987
80033;"Iguatemi";2012;"00 a 03 anos";8.578
80033;"Iguatemi";2012;"Total da Seleção";8.578
80033;"Iguatemi";2012;"Total Geral da População";131.910
80034;"Ipiranga";2012;"00 a 03 anos";4.910
80034;"Ipiranga";2012;"Total da Seleção";4.910
80034;"Ipiranga";2012;"Total Geral da População";108.010
80035;"Itaim Bibi";2012;"00 a 03 anos";3.778
80035;"Itaim Bibi";2012;"Total da Seleção";3.778
80035;"Itaim Bibi";2012;"Total Geral da População";93.704
80036;"Itaim Paulista";2012;"00 a 03 anos";13.970
80036;"Itaim Paulista";2012;"Total da Seleção";13.970
80036;"Itaim Paulista";2012;"Total Geral da População";226.070
80037;"Itaquera";2012;"00 a 03 anos";11.909
80037;"Itaquera";2012;"Total da Seleção";11.909
80037;"Itaquera";2012;"Total Geral da População";206.142
80038;"Jabaquara";2012;"00 a 03 anos";11.558
80038;"Jabaquara";2012;"Total da Seleção";11.558
80038;"Jabaquara";2012;"Total Geral da População";224.902
80039;"Jaçanã";2012;"00 a 03 anos";4.987
80039;"Jaçanã";2012;"Total da Seleção";4.987
80039;"Jaçanã";2012;"Total Geral da População";94.935
80040;"Jaguara";2012;"00 a 03 anos";1.096
80040;"Jaguara";2012;"Total da Seleção";1.096
80040;"Jaguara";2012;"Total Geral da População";24.703
80041;"Jaguaré";2012;"00 a 03 anos";2.749
80041;"Jaguaré";2012;"Total da Seleção";2.749
80041;"Jaguaré";2012;"Total Geral da População";50.962
80042;"Jaraguá";2012;"00 a 03 anos";11.485
80042;"Jaraguá";2012;"Total da Seleção";11.485
80042;"Jaraguá";2012;"Total Geral da População";190.571
80043;"Jardim Ângela";2012;"00 a 03 anos";20.604
80043;"Jardim Ângela";2012;"Total da Seleção";20.604
80043;"Jardim Ângela";2012;"Total Geral da População";303.888
80044;"Jardim Helena";2012;"00 a 03 anos";8.784
80044;"Jardim Helena";2012;"Total da Seleção";8.784
80044;"Jardim Helena";2012;"Total Geral da População";134.797
80045;"Jardim Paulista";2012;"00 a 03 anos";3.017
80045;"Jardim Paulista";2012;"Total da Seleção";3.017
80045;"Jardim Paulista";2012;"Total Geral da População";89.216
80046;"Jardim São Luís";2012;"00 a 03 anos";16.275
80046;"Jardim São Luís";2012;"Total da Seleção";16.275
